현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh),화재발생시각,인명피해확률,회귀예측,지수,등급,인덱스
1,6.3,2.3,294,127.0899456,37.5836788,57.37625,3519.916667,3519.916667,주간,2.747923172,82.71046283,15.07587468,3등급,1
2,7.6,2.1,409,127.0275626,37.4996146,57.37625,41868.75,41868.75,주간,2.105026185,84.88738459,13.36750415,3등급,2
4,9.2,3.1,331,127.0165324,37.5149223,57.37625,6635.75,6635.75,주간,1.817727386,87.12343784,12.58438155,3등급,3
2,8.3,3.6,305,127.0830444,37.6470708,57.37625,457670.9167,457670.9167,주간,0.1200596,96.96713866,3.412013463,3등급,4
4,6.4,2.1,221,127.0778493,37.5344416,57.37625,4711.583333,4711.583333,저녁,1.155018517,85.48315822,9.936530111,3등급,5
1,0.2,1.4,213,126.953176,37.4879783,56.26225,9327.416667,9327.416667,새벽,3.854818261,84.6633228,18.06548429,3등급,6
2,-1.4,0.1,621,127.0781887,37.4835878,56.26225,9436.25,9436.25,주간,2.350196994,86.5631871,14.26325847,3등급,7
0,-1.4,0.1,621,126.8420688,37.5558698,56.26225,904.5,904.5,주간,3.38836188,82.42417615,16.71176042,3등급,8
4,4.1,1.2,628,126.8151501,37.58612,56.26225,37183.5,37183.5,주간,1.66197762,88.93881992,12.1578916,3등급,9
2,5.9,2.4,684,127.0350268,37.4985647,56.26225,125516,125516,주간,1.748005363,86.27780411,12.28063778,3등급,10
2,5.3,2.8,1629,126.8466974,37.5619598,56.26225,34551.41667,34551.41667,주간,5.222949966,78.75926238,20.2819054,2등급,11
1,3.8,2.6,1689,127.0423325,37.5155511,56.26225,19008.91667,19008.91667,저녁,5.200356757,73.11022946,19.49869934,3등급,12
1,1.9,0.8,1067,127.0186744,37.637577,54.27375,2108.75,2108.75,주간,4.29771978,80.48918456,18.59892364,3등급,13
2,1.9,0.9,909,127.0241108,37.520626,54.27375,2413.583333,2413.583333,주간,3.312828124,83.19584603,16.60161253,3등급,14
1,6.4,3.5,557,127.0473256,37.6155821,54.27375,1393.416667,1393.416667,주간,3.747642052,80.33704715,17.35149839,3등급,15
2,8.5,3.5,782,126.8095597,37.5641975,54.27375,8084.583333,8084.583333,주간,3.682623585,80.6517022,17.23397403,3등급,16
1,4.6,2.5,1324,127.1209766,37.4970629,54.27375,5374.916667,5374.916667,저녁,4.464272231,74.09389902,18.18723002,3등급,17
2,1.8,0.4,1309,126.9564583,37.4851679,54.27375,696.3333333,696.3333333,밤,52.8649873,17.25569665,30.20301615,2등급,18
1,0.7,0.8,1368,126.9104942,37.6108895,57.619269,5780.583333,5780.583333,새벽,7.919431262,78.97467323,25.00868841,2등급,19
1,1.2,2.6,1185,127.0310205,37.5602558,57.619269,3655.583333,3655.583333,주간,4.874664684,79.74385396,19.71609872,3등급,20
1,1.9,2.1,1266,127.0192115,37.5752701,57.619269,2438.583333,2438.583333,주간,5.049324398,79.2996985,20.01024494,2등급,21
3,5.5,3.1,1712,126.9873472,37.5414667,57.619269,7008.333333,7008.333333,주간,5.338318319,79.41652514,20.59006292,2등급,22
2,7,5,2000,126.9867624,37.4932283,57.619269,3586.5,3586.5,주간,8.553590018,74.53872644,25.25022191,2등급,23
1,7,4.3,2000,127.1338464,37.5542634,57.619269,914.5833333,914.5833333,주간,9.625538288,72.84190106,26.47909567,2등급,24
1,6.2,3.9,2000,127.0276608,37.5222147,57.619269,7527.666667,7527.666667,저녁,7.21949672,69.9683637,22.47523909,2등급,25
1,4.1,4.2,2000,127.0863672,37.6025634,53.998425,2362.583333,2362.583333,새벽,15.35936677,72.52697765,33.37616591,2등급,26
2,3.7,4.1,2000,127.0030592,37.575654,53.998425,594.1111111,594.1111111,새벽,13.33868305,74.59229748,31.54303432,2등급,27
2,3,2.9,2000,126.9952929,37.5661099,53.998425,55177.58333,55177.58333,주간,6.18700492,77.91724731,21.95619258,2등급,28
2,3,2.9,2000,126.9048668,37.5993938,53.998425,2459.75,2459.75,주간,7.744394919,76.33546534,24.31402866,2등급,29
1,3,2.9,2000,127.0411275,37.5240769,53.998425,6110.833333,6110.833333,주간,8.838425957,74.5035057,25.66113245,2등급,30
5,3.1,3.2,2000,126.9814136,37.4907257,53.998425,4819.583333,4819.583333,주간,4.960467038,82.05895969,20.17549912,2등급,31
