사망인명피해수,분기구분,화재발생일자,화재발생시,현장소방서거리,현장안전센터거리,현장소방지역대거리,발화요인대분류명,시설장소중분류명,방화관리대상여부,시간단위기온,시간단위풍속,시간단위풍향,시간단위습도,시간단위가시거리,재산피해액,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh)
0,1,20170102,11,3.0,1.0,0.0,전기적 요인,단독주택,N,6.3,2.3,230.0,82.0,294,1551,127.0899456,37.5836788,57.37625,3519.9166666666665,3519.9166666666665
0,1,20170102,12,5.0,2.0,0.0,부주의,음식점,Y,7.6,2.1,230.0,70.0,409,275,127.0275626,37.4996146,57.37625,41868.75,41868.75
0,1,20170102,14,5.0,4.0,0.0,부주의,음식점,N,9.2,3.1,200.0,59.0,331,113,127.0165324,37.5149223,57.37625,6635.75,6635.75
0,1,20170102,15,2.0,2.0,0.0,부주의,공동주택,Y,8.3,3.6,250.0,64.0,305,51,127.0830444,37.6470708,57.37625,457670.9166666667,457670.9166666667
0,1,20170102,18,4.0,4.0,0.0,방화의심,단독주택,N,6.4,2.1,270.0,73.0,221,100,127.0778493,37.5344416,57.37625,4711.583333333333,4711.583333333333
0,1,20170103,2,2.0,1.0,0.0,부주의,공동주택,N,0.2,1.4,270.0,83.0,213,30,126.953176,37.4879783,56.26225,9327.416666666666,9327.416666666666
0,1,20170103,9,4.0,2.0,0.0,부주의,단독주택,N,-1.4,0.1,0.0,60.0,621,426,127.0781887,37.4835878,56.26225,9436.25,9436.25
0,1,20170103,9,3.0,0.0,0.0,부주의,공동주택,N,-1.4,0.1,0.0,60.0,621,24,126.8420688,37.5558698,56.26225,904.5,904.5
0,1,20170103,11,6.0,4.0,0.0,미상,기타건축물,N,4.1,1.2,200.0,53.0,628,3450,126.8151501,37.58612,56.26225,37183.5,37183.5
0,1,20170103,12,4.0,2.0,0.0,전기적 요인,일반업무,N,5.9,2.4,200.0,44.0,684,259,127.0350268,37.4985647,56.26225,125516.0,125516.0
0,1,20170103,17,2.0,2.0,0.0,부주의,공동주택,N,5.3,2.8,270.0,56.0,1629,5363,126.8466974,37.5619598,56.26225,34551.416666666664,34551.416666666664
0,1,20170103,18,3.0,1.0,0.0,기계적 요인,의료시설,Y,3.8,2.6,270.0,60.0,1689,4202,127.0423325,37.5155511,56.26225,19008.916666666668,19008.916666666668
0,1,20170104,8,2.0,1.0,0.0,부주의,공동주택,N,1.9,0.8,360.0,77.0,1067,183,127.0186744,37.637577,54.27375,2108.75,2108.75
0,1,20170104,9,6.0,2.0,0.0,부주의,공동주택,N,1.9,0.9,360.0,73.0,909,80,127.0241108,37.520626,54.27375,2413.583333333333,2413.583333333333
1,1,20170104,12,4.0,1.0,0.0,방화의심,단독주택,N,6.4,3.5,270.0,56.0,557,990,127.0473256,37.6155821,54.27375,1393.4166666666667,1393.4166666666667
0,1,20170104,14,5.0,2.0,0.0,부주의,공동주택,N,8.5,3.5,230.0,45.0,782,12,126.8095597,37.5641975,54.27375,8084.583333333333,8084.583333333333
0,1,20170104,19,3.0,1.0,0.0,부주의,일상서비스,Y,4.6,2.5,290.0,42.0,1324,300,127.1209766,37.4970629,54.27375,5374.916666666667,5374.916666666667
0,1,20170104,23,2.0,2.0,0.0,부주의,단독주택,N,1.8,0.4,0.0,51.0,1309,30,126.9564583,37.4851679,54.27375,696.3333333333334,696.3333333333334
0,1,20170105,1,2.0,1.0,0.0,부주의,공동주택,N,0.7,0.8,270.0,56.0,1368,458,126.9104942,37.6108895,57.61926900000001,5780.583333333333,5780.583333333333
0,1,20170105,8,6.0,1.0,0.0,전기적 요인,단독주택,N,1.2,2.6,70.0,51.0,1185,20565,127.0310205,37.5602558,57.61926900000001,3655.5833333333335,3655.5833333333335
0,1,20170105,9,4.0,1.0,0.0,부주의,단독주택,N,1.9,2.1,70.0,47.0,1266,64,127.0192115,37.5752701,57.61926900000001,2438.583333333333,2438.583333333333
0,1,20170105,12,4.0,3.0,0.0,부주의,음식점,N,5.5,3.1,50.0,47.0,1712,59,126.9873472,37.5414667,57.61926900000001,7008.333333333333,7008.333333333333
0,1,20170105,14,2.0,2.0,0.0,전기적 요인,일반업무,Y,7.0,5.0,70.0,50.0,2000,1055,126.9867624,37.4932283,57.61926900000001,3586.5,3586.5
0,1,20170105,16,4.0,1.0,0.0,부주의,단독주택,N,7.0,4.3,50.0,49.0,2000,27,127.1338464,37.5542634,57.61926900000001,914.5833333333334,914.5833333333334
0,1,20170105,19,7.0,1.0,0.0,전기적 요인,일상서비스,N,6.2,3.9,50.0,52.0,2000,458,127.0276608,37.5222147,57.61926900000001,7527.666666666667,7527.666666666667
0,1,20170106,1,2.0,1.0,0.0,부주의,단독주택,N,4.1,4.2,50.0,57.0,2000,20,127.0863672,37.6025634,53.998425000000005,2362.583333333333,2362.583333333333
0,1,20170106,3,3.0,2.0,0.0,방화,작업장,N,3.7,4.1,50.0,59.0,2000,103557,127.0030592,37.575654,53.998425000000005,594.1111111111111,594.1111111111111
0,1,20170106,7,2.0,2.0,0.0,전기적 요인,창고시설,N,3.0,2.9,50.0,62.0,2000,7926,126.9952929,37.5661099,53.998425000000005,55177.583333333336,55177.583333333336
0,1,20170106,7,4.0,2.0,0.0,전기적 요인,단독주택,N,3.0,2.9,50.0,62.0,2000,407,126.9048668,37.5993938,53.998425000000005,2459.75,2459.75
0,1,20170106,7,4.0,1.0,0.0,부주의,음식점,N,3.0,2.9,50.0,62.0,2000,162,127.0411275,37.5240769,53.998425000000005,6110.833333333333,6110.833333333333
0,1,20170106,9,9.0,5.0,0.0,부주의,음식점,N,3.1,3.2,50.0,61.0,2000,2379,126.9814136,37.4907257,53.998425000000005,4819.583333333333,4819.583333333333
0,1,20170106,12,1.0,1.0,0.0,부주의,기타건축물,N,7.6,1.5,50.0,46.0,2000,48,127.0407829,37.6303183,53.998425000000005,55214.833333333336,55214.833333333336
1,1,20170106,14,3.0,3.0,0.0,미상,단독주택,N,9.2,1.9,250.0,48.0,1957,3397,126.906062,37.4855945,53.998425000000005,7276.166666666667,7276.166666666667
0,1,20170106,15,4.0,1.0,0.0,전기적 요인,음식점,N,10.9,1.3,270.0,44.0,1998,138,126.9076908,37.5680341,53.998425000000005,528.6666666666666,528.6666666666666
0,1,20170106,15,4.0,1.0,0.0,전기적 요인,단독주택,N,10.9,1.3,270.0,44.0,1998,9,127.0595988,37.5868812,53.998425000000005,4312.333333333333,4312.333333333333
0,1,20170106,22,6.0,2.0,0.0,부주의,음식점,N,4.4,0.3,0.0,70.0,1156,541,127.082404,37.5106957,53.998425000000005,8348.5,8348.5
0,1,20170106,22,7.0,1.0,0.0,부주의,음식점,N,4.4,0.3,0.0,70.0,1156,108,126.9021713,37.4538202,53.998425000000005,5841.666666666667,5841.666666666667
0,1,20170107,0,3.0,0.0,0.0,부주의,일반업무,Y,3.0,1.3,50.0,72.0,1049,239,127.0476152,37.5756932,48.472497,2919.5,2919.5
0,1,20170107,2,3.0,2.0,0.0,부주의,음식점,N,2.3,0.9,20.0,76.0,883,103,127.062346,37.6164113,48.472497,1597.5,1597.5
0,1,20170107,4,1.0,1.0,0.0,부주의,단독주택,N,1.6,0.7,20.0,81.0,688,110,127.0307849,37.6379406,48.472497,5257.083333333333,5257.083333333333
0,1,20170107,5,0.0,0.0,0.0,전기적 요인,일상서비스,N,1.1,0.7,360.0,82.0,740,193,126.9019921,37.5188746,48.472497,125.58333333333331,125.58333333333331
0,1,20170107,10,6.0,3.0,0.0,전기적 요인,일반업무,Y,2.5,2.6,50.0,73.0,566,1418,126.8859646,37.4722767,48.472497,37732.083333333336,37732.083333333336
0,1,20170107,10,5.0,2.0,0.0,화학적 요인,공동주택,Y,2.5,2.6,50.0,73.0,566,23,126.9506263,37.4972639,48.472497,3252.0,3252.0
0,1,20170107,11,7.0,3.0,0.0,미상,단독주택,N,5.8,1.2,90.0,58.0,866,1544,126.9005516,37.4692588,48.472497,7817.416666666667,7817.416666666667
0,1,20170107,13,5.0,2.0,0.0,부주의,음식점,N,8.7,1.0,340.0,49.0,782,55,127.084547,37.5812694,48.472497,3390.75,3390.75
0,1,20170107,13,2.0,2.0,0.0,전기적 요인,단독주택,N,8.7,1.0,340.0,49.0,782,2850,126.9572986,37.4827901,48.472497,6152.25,6152.25
0,1,20170107,14,6.0,1.0,0.0,전기적 요인,건강시설,Y,9.4,2.9,290.0,51.0,719,7154,127.022576,37.5479272,48.472497,2836.1666666666665,2836.1666666666665
0,1,20170107,15,4.0,2.0,0.0,부주의,일상서비스,N,9.3,1.9,270.0,51.0,703,35,127.0272827,37.5076581,48.472497,3439.4166666666665,3439.4166666666665
