wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,gis_x_axis,gis_y_axis,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
220101011323117,기타(쓰레기 화재등),,,,,,,,,,0,0,0,131,2022,겨울,1,20220101,002000,01,01,00,20,토요일,도봉소방서,방학119안전센터,,000255,000320,서울특별시,도봉구,창동,도시,동,203799.700000,203799.700000,127.043059000,37.654835000,1.80,1.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,재활용,,,,,기타,야외,공터,,2.000000,N,N,N,N,,,,,-8.5,,1.9,320,41,,2000
220101072841528,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,1214.000000,275.000000,사용중,0,0,0,248,2022,겨울,1,20220101,010000,01,01,01,00,토요일,강동소방서,강일119안전센터,,000300,000400,서울특별시,강동구,고덕동,도시,동,214930.350000,214930.350000,127.168991000,37.557430000,7.00,1.20,0.00,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,계절용 기기,열선,합성수지,플라스틱/ PVC/ 비닐/ 장판,판매/업무시설,일반업무,일반빌딩,,0.000000,N,Y,N,N,,,,,-9.2,,1.8,270,42,,2000
220101084942081,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,805.110000,234.370000,사용중,0,0,0,1727,2022,겨울,1,20220101,052700,01,01,05,27,토요일,노원소방서,공릉119안전센터,,000444,004126,서울특별시,노원구,공릉동,도시,동,207021.530000,207021.530000,127.079561000,37.624920000,3.00,2.20,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,침구/직물류,이불(베개/시트),,,,,판매/업무시설,숙박시설,모텔,,8.000000,N,N,N,N,,,,,-9.7,,0.8,270,51,,2000
220101094223698,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,2,1,307.640000,0.000000,사용중,0,0,0,268,2022,겨울,1,20220101,072400,01,01,07,24,토요일,종로소방서,신영119안전센터,,000751,000934,서울특별시,종로구,평창동,도시,동,197681.950000,197681.950000,126.973755000,37.614072000,8.40,2.30,0.00,미상,미상,미상,미상,종이/목재/건초등,목재/ 합판,,,,,주거,단독주택,단독주택,,1.000000,N,N,N,N,,,,,-10.1,,1.9,50,55,,2000
220101090955661,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,17,5,12986.170000,586.510000,사용중,0,0,0,184,2022,겨울,1,20220101,074000,01,01,07,40,토요일,강남소방서,역삼119안전센터,,000447,000904,서울특별시,강남구,역삼동,도시,동,202895.342800,202895.342800,127.032746000,37.506684000,3.60,1.80,0.00,작동기기,기기 전도/복사열/기기발열,부주의,불씨/불꽃/화원방치,침구/직물류,기타(침구/직물류),,,,,주거,공동주택,주상복합아파트,,1.000000,N,Y,N,N,,,,,-10.1,,1.9,50,55,,2000
220101091405893,자동차/철도차량,,,,,,,,,,0,0,0,24750,2022,겨울,1,20220101,080600,01,01,08,06,토요일,서대문소방서,북가좌119안전센터,,000454,001855,서울특별시,서대문구,연희동,도시,동,192860.958800,192860.958800,126.919996000,37.570682000,2.00,2.00,0.00,미상,미상,미상,미상,미상,미상,,,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,앞좌석,,,-10.2,,2.5,20,56,,2000
220101144737923,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,382.320000,80.190000,사용중,0,2,2,12448,2022,겨울,1,20220101,091600,01,01,09,16,토요일,중랑소방서,중화119안전센터,,000521,052147,서울특별시,중랑구,상봉동,도시,동,207979.870000,207979.870000,127.090365000,37.595550000,3.50,2.10,0.00,미상,미상,미상,미상,미상,미상,,,,,판매/업무시설,숙박시설,모텔,지상층,65.000000,N,N,N,N,,,,,-9.1,,2.1,50,56,,2000
220101121852391,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,14,2,2044.220000,128.920000,사용중,0,0,0,485,2022,겨울,1,20220101,101200,01,01,10,12,토요일,은평소방서,진관119안전센터,,000300,002800,서울특별시,은평구,불광동,도시,동,193850.160000,193850.160000,126.930334000,37.610544000,1.40,1.40,0.00,작동기기,기기 전도/복사열/기기발열,기계적 요인,자동제어 실패,전기/전자,전자기기 부속품,계절용 기기,전기히터/스토브,,,의료/복지시설,의료시설,병원,,6.000000,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
220101115827291,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,747.700000,54.400000,사용중,0,0,0,11,2022,겨울,1,20220101,103500,01,01,10,35,토요일,광진소방서,구의119안전센터,,000516,000905,서울특별시,광진구,자양동,도시,동,207439.360000,207439.360000,127.084157000,37.528769000,2.30,2.30,0.00,담뱃불/ 라이터불,담뱃불,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,,0.000000,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
220101152312859,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,1,171516.220000,16066.900000,사용중,0,0,0,22,2022,겨울,1,20220101,104300,01,01,10,43,토요일,양천소방서,신트리119안전센터,,000338,000000,서울특별시,양천구,신정동,도시,동,187953.920700,187953.920700,126.865214000,37.510999000,2.80,1.50,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,기타,기타,,,,,주거,공동주택,아파트,,0.000000,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
